iter	Logloss
0	0.6820464655
1	0.671434484
2	0.6618750439
3	0.6536166937
4	0.6472277665
5	0.6422866876
6	0.6370811878
7	0.6297148362
8	0.6250605016
9	0.6176285407
10	0.6115046741
11	0.6046219192
12	0.5951606387
13	0.5898535315
14	0.5859152132
15	0.5827630209
16	0.5773892883
17	0.5718905631
18	0.5666823125
19	0.5606030433
20	0.5550610791
21	0.5497337518
22	0.5459450848
23	0.5433293455
24	0.5377255856
25	0.5325186507
26	0.5282131166
27	0.5253076784
28	0.5205137545
29	0.5180735325
30	0.5104359462
31	0.5076879309
32	0.5034242437
33	0.5008038506
34	0.4961863441
35	0.4934007821
36	0.4896584799
37	0.4851824488
38	0.4818070331
39	0.4779581188
40	0.4760773555
41	0.4713410242
42	0.4680492721
43	0.4653185705
44	0.4634377677
45	0.4609761279
46	0.4577135226
47	0.4550240283
48	0.4523278759
49	0.449707854
50	0.4484761524
51	0.4434926074
52	0.4403688548
53	0.4362949368
54	0.43430826
55	0.4320135115
56	0.4301143695
57	0.4286491904
58	0.4252664468
59	0.4234617503
60	0.4206030385
61	0.4174647193
62	0.4158441628
63	0.4121785086
64	0.4085696275
65	0.4069786448
66	0.4051017697
67	0.4033266737
68	0.4021595163
69	0.4001008099
70	0.3990989551
71	0.3974698541
72	0.3941595781
73	0.3907644157
74	0.3891676264
75	0.3862515984
76	0.3829996875
77	0.3806748487
78	0.3789419634
79	0.3763062772
80	0.3745414981
81	0.3731462235
82	0.371208392
83	0.3671931367
84	0.3655524108
85	0.3639181114
86	0.3627221055
87	0.3609902929
88	0.3586537587
89	0.357293396
90	0.3552338642
91	0.3541344449
92	0.3524658113
93	0.350103518
94	0.3492127999
95	0.3453754569
96	0.3442247317
97	0.3433202587
98	0.3415648966
99	0.3386376687
100	0.3368988256
101	0.335272592
102	0.3338503429
103	0.3319102093
104	0.3302267444
105	0.327178699
106	0.3240980004
107	0.3229683046
108	0.3220260621
109	0.3207717815
110	0.3194916862
111	0.3176247345
112	0.3159784779
113	0.3138116371
114	0.311870067
115	0.309993183
116	0.3070479629
117	0.3048540765
118	0.3020529491
119	0.3012840256
120	0.2980062391
121	0.2959328032
122	0.2944542794
123	0.2937546559
124	0.2910372383
125	0.2896345016
126	0.2879186219
127	0.2858200926
128	0.2843933891
129	0.2831819543
130	0.2811882516
131	0.2793802198
132	0.2781047818
133	0.2760058235
134	0.2728402974
135	0.2717388422
136	0.2709168806
137	0.2689892712
138	0.2672982509
139	0.265834794
140	0.2639313042
141	0.2601594863
142	0.2587032655
143	0.2561058405
144	0.2536684434
145	0.2528361394
146	0.2521181139
147	0.2512813471
148	0.2497453815
149	0.2481264021
150	0.2469729646
151	0.2460366189
152	0.2447945188
153	0.2427005913
154	0.2411462611
155	0.2397270993
156	0.2375214595
157	0.2366528443
158	0.2347402129
159	0.2339655128
160	0.2332439199
161	0.23118104
162	0.230672227
163	0.2294671063
164	0.2291419131
165	0.2270307672
166	0.2250597577
167	0.2232614626
168	0.2224133522
169	0.2210167097
170	0.2190029406
171	0.2174531439
172	0.2165922199
173	0.2152295113
174	0.214448942
175	0.2131231903
176	0.2123994577
177	0.2109169671
178	0.2097488353
179	0.2079350149
180	0.206694672
181	0.2050306247
182	0.2032052558
183	0.2018100263
184	0.2005684347
185	0.1989198567
186	0.1964941191
187	0.1956390437
188	0.1950949555
189	0.1939278775
190	0.1929539907
191	0.1911215732
192	0.1905483941
193	0.1898538001
194	0.1889348582
195	0.1884309436
196	0.1867709735
197	0.1840130956
198	0.1832641265
199	0.1819711609
